distance,speed,time
5.375,0.8070583,10.84006
5.4,1.019798,10.88006
5.425,0.9397914,10.90006
5.45,0.8252563,10.92006
5.475,0.6938718,10.96006
5.5,0.6320607,11.00006
5.525,0.6347772,11.04006
5.55,0.6554824,11.08006
5.575,0.6788217,11.12006
5.6,0.7054421,11.16007
5.625,0.7126552,11.18007
5.65,0.7303361,11.22007
5.675,0.7942417,11.26007
5.7,0.7768629,11.30007
5.725,0.7947099,11.32007
5.75,0.5632795,11.36007
5.775,0.5382924,11.42007
5.8,0.5995184,11.46007
5.825,0.6920538,11.50007
5.85,0.7201893,11.54007
5.875,0.6358649,11.58008
5.9,0.5563589,11.62008
5.925,0.5067397,11.68008
5.95,0.537868,11.72008
5.975,0.6208983,11.76008
6,0.6885569,11.80008
6.025,0.3638444,11.86008
6.05,0.3045639,11.98008
6.075,0.7343745,12.04009
6.1,0.8728328,12.06009
6.125,0.97022,12.10009
6.15,0.8897718,12.12009
6.175,0.7168649,12.16009
6.2,0.7433554,12.20009
6.225,0.7177782,12.22009
6.25,0.6675751,12.26009
6.275,0.6389619,12.30009
6.3,0.64782,12.34009
6.325,0.6547174,12.38009
6.35,0.6789103,12.42009
6.375,0.7208147,12.4601
6.4,0.7417735,12.4801
6.425,0.7750044,12.5201
6.45,0.7663371,12.5601
6.475,0.5500732,12.6001
6.5,0.663204,12.6401
6.525,0.7182981,12.6801
6.55,0.786555,12.7201
6.575,0.8230473,12.7401
6.6,0.8756087,12.7801
6.625,0.8463297,12.8001
6.65,0.7501364,12.8401
6.675,0.7073324,12.88011
6.7,0.6983609,12.90011
6.725,0.6891363,12.94011
6.75,0.6952044,12.98011
6.775,0.2978392,13.04011
6.8,0.432062,13.18011
6.825,0.7030585,13.22011
6.85,0.8882057,13.26011
6.875,0.8317574,13.28011
6.9,0.625246,13.32012
6.925,0.6146396,13.36012
6.95,0.6674162,13.40012
6.975,0.5951192,13.44012
7,0.571475,13.48012
