distance,speed,time
5.4,0.8338442,9.500028
5.425,0.848616,9.520028
5.45,0.9176622,9.560029
5.475,0.8994812,9.580029
5.5,0.6404577,9.62003
5.525,0.6082487,9.660031
5.55,0.61031,9.720033
5.575,0.6778518,9.760034
5.6,0.7107259,9.780034
5.625,0.7292495,9.820035
5.65,0.6972571,9.860036
5.675,0.6665821,9.900037
5.7,0.6609974,9.940038
5.725,0.6475639,9.980039
5.75,0.4284425,10.02004
5.775,0.3442475,10.08004
5.8,0.3458207,10.20004
5.825,0.7685338,10.26005
5.85,0.8894124,10.28005
5.875,0.8653155,10.32005
5.9,0.8502522,10.34005
5.925,0.7189828,10.38005
5.95,0.6817313,10.40005
5.975,0.7151054,10.44005
6,0.7440159,10.48005
6.025,0.7674649,10.52005
6.05,0.7914187,10.54005
6.075,0.8468497,10.58005
6.1,0.8600057,10.60005
6.125,0.7901407,10.64005
6.15,0.5930184,10.68005
6.175,0.6401488,10.72006
6.2,0.6987224,10.76006
6.225,0.7623473,10.80006
6.25,0.7808118,10.82006
6.275,0.8009841,10.86006
6.3,0.6787662,10.90006
6.325,0.5876482,10.94006
6.35,0.520026,10.98006
6.375,0.5381523,11.02006
6.4,0.6119863,11.08006
6.425,0.5097498,11.12006
6.45,0.3505687,11.18007
6.475,0.3948265,11.26007
6.5,0.5497142,11.32007
6.525,0.8160607,11.36007
6.55,0.9486475,11.38007
6.575,0.8624735,11.42007
6.6,0.7854542,11.44007
6.625,0.6713619,11.48007
6.65,0.6443912,11.52007
6.675,0.6724811,11.56007
6.7,0.7114611,11.60008
6.725,0.7315413,11.62008
6.75,0.7971604,11.66008
6.775,0.8059652,11.70008
6.8,0.789243,11.72008
6.825,0.7008467,11.76008
6.85,0.6465529,11.80008
6.875,0.6781696,11.84008
6.9,0.7370031,11.88008
6.925,0.7589551,11.92008
6.95,0.7509519,11.94008
6.975,0.6917449,11.98008
7,0.6189803,12.02009
