goaltime,average,changepoint,1deg,2deg,3deg
13.70012,13.70012,3.160013,0,0,0
12.5001,13.10011,3.189968,0,0,0
12.88011,13.02678,3.120585,0,0,0
12.44009,12.88011,3.644594,0,0,0
12.6801,12.84011,3.345459,0,0,0
12.36009,12.7601,3.097897,0,0,0
12.6801,12.74867,3.929783,0,0,0
12.24009,12.6851,3.723766,0,0,0
12.38009,12.65121,3.225676,0,0,0
12.7801,12.6641,3.450691,0,0,0
12.7601,12.67283,3.154094,0,0,0
12.6001,12.66677,3.220403,0,0,0
12.8001,12.67702,3.57022,0,0,0
12.34009,12.65296,3.140122,0,0,0
12.6601,12.65343,3.4935,0,0,0
12.6601,12.65385,3.532854,0,0,0
12.6001,12.65069,3.001341,0,0,0
12.5201,12.64343,3.624753,0,0,0
12.7001,12.64642,3.692218,0,0,0
12.4601,12.6371,3.385687,0,0,0
11.96008,12.60486,3.8612,0,0,0
12.5401,12.60192,3.562661,0,0,0
