goaltime,average,changepoint,1deg,2deg,3deg
13.32012,13.32012,3.500313,0,0,0
13.38012,13.35012,3.746777,0,0,0
12.88011,13.19345,3.015887,0,0,0
13.22011,13.20011,3.750454,0,0,0
13.48012,13.25611,3.503372,0,0,0
13.68012,13.32678,3.442255,0,0,0
13.52012,13.3544,3.839335,0,0,0
12.94011,13.30262,3.043495,0,0,0
13.94013,13.37345,3.326199,0,0,0
13.74012,13.41012,3.360763,0,0,0
13.18011,13.38921,3.034171,0,0,0
13.36012,13.38678,3.979323,0,0,0
14.12013,13.4432,3.747606,0,0,0
13.36012,13.43726,3.563149,0,0,0
13.44012,13.43745,3.086336,0,0,0
13.56012,13.44512,3.261257,0,0,0
13.48012,13.44718,3.858255,0,0,0
13.52012,13.45123,3.99922,0,0,0
13.32012,13.44433,3.852687,0,0,0
13.44012,13.44412,3.293911,0,0,0
13.42012,13.44298,3.931794,0,0,0
13.32012,13.43739,3.689339,0,0,0
12.8401,13.41142,3.598191,0,0,0
13.82013,13.42845,3.957675,0,0,0
13.90013,13.44732,3.28603,0,0,0
13.26011,13.44012,3.567109,0,0,0
13.52012,13.44308,3.444647,0,0,0
13.44012,13.44298,3.580513,0,0,0
