time,distance,speed,first,second,third
0.02,0.004402757,0.2712846,4.048235,19.57798,-44.27853
0.04,0.0133363,0.4466772,4.149782,19.22896,-41.97946
0.06,0.02522385,0.5943775,4.18834,18.80083,-39.17255
0.08,0.03946495,0.712055,4.212274,18.34777,-36.07068
0.09999999,0.05529916,0.7917106,4.233407,17.8862,-32.91702
0.12,0.07201755,0.8359194,4.254142,17.42194,-29.92358
0.14,0.08910286,0.8542657,4.27449,16.95709,-27.22183
0.16,0.1061229,0.8509994,4.161065,16.79657,-25.2601
0.18,0.1227636,0.8320391,3.996405,16.73997,-23.91043
0.2,0.1382045,0.7720411,3.739329,17.36233,-22.02948
0.22,0.1526102,0.7202864,3.524071,17.38024,-19.19388
0.24,0.1665027,0.6946266,3.385924,17.12839,-16.03708
0.26,0.1802175,0.6857395,3.060746,17.1263,-13.38531
0.28,0.1937087,0.6745577,2.618231,17.33147,-11.2923
0.3,0.207034,0.6662667,2.125659,17.63081,-9.588898
0.32,0.2203044,0.6635189,1.619926,17.95977,-8.204651
0.34,0.2335967,0.6646156,1.080295,18.32707,-7.00946
0.36,0.2473558,0.6879568,0.7018951,19.37421,-6.771851
0.38,0.261252,0.6948113,0.3692644,20.71384,-7.054413
0.4,0.2753214,0.7034659,0.09469516,22.14338,-7.715881
0.42,0.289589,0.7133842,-0.1307068,23.63543,-8.543213
0.4400001,0.3040843,0.7247627,-0.3494568,25.40122,-10.06903
0.4600001,0.3185598,0.7237732,-0.5917053,27.50082,-12.03622
0.4800001,0.3313053,0.637275,-0.8475647,28.03504,-12.78586
0.5000001,0.3417671,0.5230904,-1.051056,29.3476,-14.40695
0.52,0.3512305,0.4731715,-1.244537,30.64803,-16.246
0.54,0.3604621,0.4615784,-1.443512,31.98315,-18.43918
0.56,0.3693403,0.4439116,-1.534149,33.05277,-20.81396
0.58,0.3779467,0.4303217,-1.579773,34.03329,-23.31158
0.6,0.3862699,0.4161596,-1.617676,34.98337,-25.77393
0.6199999,0.394358,0.4044056,-1.661011,35.92563,-27.74066
0.6399999,0.4021884,0.3915191,-1.648682,36.57891,-28.62094
0.6599999,0.4092052,0.3508389,-1.756409,37.86243,-29.48511
0.6799999,0.4162327,0.3513753,-1.822083,38.84746,-30.28696
0.6999999,0.4232591,0.3513217,-1.765533,39.54107,-31.11212
0.7199998,0.4311053,0.3923059,-1.563843,39.89436,-31.2627
0.7399998,0.4400533,0.4474044,-1.133453,40.32329,-30.89539
0.7599998,0.4507629,0.5354762,-0.6995239,40.5771,-30.04962
0.7799998,0.4636205,0.6428838,-0.2983704,40.94932,-29.03552
0.7999998,0.4788309,0.7605195,0.0887272,41.36243,-27.76688
0.8199998,0.4961503,0.8659661,0.4646313,41.78838,-26.23981
0.8399997,0.5153224,0.9586096,0.8385013,42.21844,-24.54181
0.8599997,0.5345906,0.9634078,0.9250209,42.71576,-22.98721
0.8799997,0.5520433,0.8726358,0.881785,43.23137,-22.52893
0.8999997,0.5685445,0.8250594,0.8017827,43.75827,-22.83542
0.9199997,0.5838941,0.7674813,0.7216166,44.28717,-22.2897
