goaltime,average,changepoint,1deg,2deg,3deg
12.06009,12.06009,3.773591,0,0,0
12.88011,12.4701,3.788247,0,0,0
12.28009,12.40676,3.306318,0,0,0
13.84013,12.7651,3.006938,0,0,0
12.92011,12.7961,3.852332,0,0,0
12.5201,12.7501,3.485176,0,0,0
11.90008,12.62867,3.252691,0,0,0
12.6201,12.6276,3.748783,0,0,0
12.38009,12.6001,3.684577,0,0,0
12.7201,12.6121,3.13347,0,0,0
12.20009,12.57465,3.452936,0,0,0
11.88008,12.51676,3.924153,0,0,0
11.84008,12.46471,3.2452,0,0,0
12.5801,12.47295,3.716325,0,0,0
11.86008,12.4321,3.944859,0,0,0
12.26009,12.42134,3.036412,0,0,0
12.8601,12.44715,3.44733,0,0,0
12.24009,12.43565,3.437982,0,0,0
12.34009,12.43062,3.107124,0,0,0
16.54019,12.6361,3.127295,0,0,0
12.8601,12.64677,3.291596,0,0,0
