time,distance,speed,first,second,third
0.02,0.003397822,0.2149761,1.977206,26.75131,-84.61081
0.04,0.01149976,0.405097,2.948807,25.75421,-84.48245
0.06,0.02343762,0.5968928,3.939366,24.93121,-84.33179
0.08,0.03764951,0.7105947,4.31862,24.82384,-82.98523
0.09999999,0.05196309,0.7156789,4.491699,25.64728,-81.20386
0.12,0.06565678,0.6846845,4.261035,26.43068,-79.59467
0.14,0.07685137,0.5597293,4.040123,27.82281,-79.64029
0.16,0.0860095,0.4579067,4.308851,28.26612,-77.80634
0.18,0.09410548,0.404799,4.855467,27.63546,-74.39191
0.2,0.1031902,0.4542351,5.082192,28.93576,-71.6911
0.22,0.1134568,0.5133331,5.214182,30.71069,-69.40845
0.24,0.1255282,0.6035686,5.425161,31.71724,-67.29861
0.26,0.1397048,0.7088304,5.613676,32.0654,-65.26117
0.28,0.1560256,0.8160412,5.988626,31.97508,-64.89508
0.3,0.1741809,0.9077609,6.431381,30.94313,-65.12616
0.32,0.1938155,0.9817302,6.8813,29.50161,-65.56119
0.34,0.2145156,1.035005,7.332143,28.05615,-66.05701
0.36,0.2349851,1.023477,7.776644,26.61706,-66.57123
0.38,0.2544779,0.9746373,7.485213,25.99116,-65.98779
0.4,0.2721096,0.8815885,6.862111,26.83703,-65.38092
0.42,0.2890395,0.8464932,6.064096,28.46208,-65.69958
0.4400001,0.3051267,0.8043587,5.267807,30.00495,-65.00705
0.4600001,0.3206912,0.778228,4.622686,31.17813,-63.43976
0.4800001,0.3357832,0.7546008,3.979681,32.23019,-61.43005
0.5000001,0.3501776,0.7197201,3.42353,32.92377,-59.21793
0.52,0.3644799,0.7151127,2.882685,33.54457,-56.93707
0.54,0.378992,0.7256031,2.328015,34.20801,-54.74503
0.56,0.3939636,0.7485807,1.45287,35.52967,-53.03256
0.58,0.4086171,0.7326782,1.031878,39.30428,-53.77271
0.6,0.4223149,0.6848872,1.057064,41.89648,-55.17886
0.6199999,0.43512,0.6402552,0.8300789,44.63523,-56.47913
0.6399999,0.446629,0.575453,0.7508293,47.07071,-58.16089
0.6599999,0.4577218,0.5546391,0.6883332,48.66702,-59.89017
0.6799999,0.4693813,0.5829751,0.6773043,49.30474,-61.72528
0.6999999,0.4808947,0.5756676,0.6946105,49.07367,-63.6171
0.7199998,0.4918209,0.5463123,0.7107397,48.74968,-65.52725
0.7399998,0.5023394,0.5259216,0.7122444,48.75302,-67.4292
0.7599998,0.511974,0.4817307,0.7191918,48.79722,-69.32651
0.7799998,0.520836,0.4431009,0.9655222,47.73491,-70.19592
0.7999998,0.5300895,0.4626751,1.30614,46.70172,-70.71402
0.8199998,0.5409018,0.5406141,1.67524,45.76997,-71.10822
0.8399997,0.5537933,0.6445765,2.047652,44.7713,-71.46387
0.8599997,0.5690498,0.7628262,2.419537,43.64359,-71.81137
0.8799997,0.5866686,0.8809388,2.597798,42.74878,-73.04391
