goaltime,average,changepoint,1deg,2deg,3deg
12.20009,12.20009,3.065326,0,0,0
12.5801,12.39009,3.673323,0,0,0
12.14009,12.30676,3.382653,0,0,0
12.42009,12.33509,3.60139,0,0,0
12.8001,12.42809,3.844746,0,0,0
12.42009,12.42676,3.448299,0,0,0
13.02011,12.51153,3.339717,0,0,0
12.90011,12.5601,3.510575,0,0,0
12.96011,12.60454,3.376947,0,0,0
12.5401,12.5981,3.204099,0,0,0
12.26009,12.56737,3.512368,0,0,0
12.5001,12.56176,3.051496,0,0,0
12.92011,12.58933,3.707514,0,0,0
12.32009,12.5701,3.208141,0,0,0
12.6601,12.5761,3.30911,0,0,0
12.6401,12.5801,3.995859,0,0,0
12.18009,12.55657,3.806086,0,0,0
12.8401,12.57232,3.57669,0,0,0
12.5601,12.57168,3.926517,0,0,0
13.10011,12.5981,3.123143,0,0,0
12.5601,12.59629,3.626109,0,0,0
13.02011,12.61555,3.644547,0,0,0
