goaltime,average,changepoint,1deg,2deg,3deg
14.10013,14.10013,3.969826,0.2184019,28.3248,275.1929
13.62012,13.86013,3.987732,359.8602,44.08393,293.8512
14.44014,14.05347,3.745917,4.989093,32.85115,277.0554
12.88011,13.76013,3.159622,357.7496,42.32329,301.5833
14.26014,13.86013,3.252736,0.4714389,49.6199,300.1886
13.72012,13.83679,3.100305,1.718726,37.1371,281.4022
14.14013,13.88013,3.767048,357.8033,50.18976,301.8693
12.90011,13.75763,3.869627,1.960181,35.83312,299.0206
15.12016,13.90902,3.194301,2.770639,25.14462,294.7194
13.44012,13.86213,3.760134,3.180049,33.61691,280.4203
13.58012,13.83649,3.273051,2.836022,32.55935,299.576
13.08011,13.77346,3.806158,358.9267,22.94482,282.7732
13.52012,13.75397,3.960637,358.5692,43.64701,295.6378
12.8601,13.69012,3.055768,358.0761,50.13125,296.442
13.30011,13.66412,3.080305,4.599287,31.48212,294.5829
14.96015,13.74513,3.268329,5.297533,31.49699,298.2991
15.40016,13.84248,3.456457,1.05344,35.59029,280.9004
15.60017,13.94013,3.811532,4.286101,33.39288,279.089
13.98013,13.94223,3.484495,3.539863,38.97307,288.2183
13.38012,13.91413,3.861762,0.2438509,19.84332,285.3231
13.86013,13.91156,3.289559,1.618881,21.66174,287.9696
