goaltime,average,changepoint,1deg,2deg,3deg
12.22009,12.22009,3.517766,1.912919,27.94532,275.8137
12.00008,12.11009,3.115152,3.84921,42.28872,289.2791
11.04006,11.75341,3.559594,8.67943,30.56915,294.2109
12.22009,11.87008,3.459308,8.260426,37.82297,306.8661
12.16009,11.92808,3.509774,5.126378,37.97802,281.2911
10.90006,11.75675,3.439764,8.274176,37.33995,290.7607
12.36009,11.84294,3.492281,11.33138,31.01412,305.3114
11.64008,11.81758,3.892795,7.02324,37.33896,306.9533
12.08009,11.84675,3.109297,8.084292,39.42419,285.1458
11.92008,11.85408,3.182359,2.234524,26.81271,273.4421
11.80008,11.84917,3.327262,4.00813,24.8393,275.7684
11.12006,11.78841,3.175732,2.068704,49.4074,296.4647
11.70008,11.78162,3.344282,9.862695,30.12239,295.8753
12.16009,11.80865,3.399735,0.8155231,44.84581,298.9819
11.28007,11.77341,3.391503,8.372252,26.55666,295.9704
13.24011,11.86508,3.52834,8.231223,44.81153,306.2566
11.44007,11.84008,3.998392,9.95474,32.24977,297.8981
17.42021,12.15009,3.610364,14.90444,18.34889,292.3032
10.96006,12.08746,3.876604,7.137082,24.90901,275.8159
11.14007,12.04009,3.545765,6.931118,21.49422,287.0959
11.32007,12.0058,3.842103,5.279103,42.08487,292.8885
