goaltime,average,changepoint,1deg,2deg,3deg
12.88011,12.88011,3.510774,7.809403,43.84629,293.0707
11.58008,12.23009,3.540067,0.4228916,48.80179,295.1071
13.00011,12.48676,3.987819,358.8904,35.94388,281.3944
12.5801,12.5101,3.794,6.77315,22.74156,291.4813
11.48007,12.30409,3.205602,3.450797,45.47636,296.8451
11.80008,12.22009,3.151047,3.785772,27.94523,279.9976
11.60008,12.13152,3.034515,0.8237318,24.77625,287.7332
11.42007,12.04259,3.03156,3.807691,38.00697,282.8172
11.76008,12.0112,3.415766,1.79483,35.56207,290.896
12.5801,12.06809,3.342974,5.719726,41.625,284.2682
11.54007,12.02009,3.953126,6.61509,41.11619,290.7519
11.20007,11.95175,3.051425,5.782081,25.23278,281.4052
11.24007,11.89701,3.441205,4.2131,53.19073,298.6752
11.86008,11.89437,3.398585,3.29252,45.70734,291.6811
12.7601,11.95208,3.754747,3.99249,53.08727,301.1273
12.12009,11.96258,3.764185,1.725044,47.24226,292.6415
12.18009,11.97538,3.281219,3.830962,49.46274,299.2852
12.38009,11.99786,3.681557,0.8260282,48.08263,295.3316
12.8001,12.04009,3.311068,359.6694,48.58633,290.398
11.64008,12.02009,3.909305,2.023689,27.01696,281.0673
13.04011,12.06866,3.6412,359.3226,42.7691,287.1745
12.04009,12.06736,3.110374,0.2755303,39.39055,295.3125
