goaltime,average,changepoint,1deg,2deg,3deg
11.98008,11.98008,3.652589,1.187611,37.85985,294.8095
12.8401,12.41009,3.693733,1.730636,40.08186,293.4411
11.70008,12.17342,3.992996,4.510408,38.32828,292.9931
12.36009,12.22009,3.405292,3.01794,32.9267,291.9603
13.24011,12.42409,3.085071,2.192939,45.92598,288.1899
13.20011,12.55343,3.541385,4.593765,27.02119,293.2122
12.02009,12.47724,3.289865,2.686439,30.70399,294.4342
12.22009,12.4451,3.980549,2.512705,47.60152,291.9535
12.4601,12.44676,3.595144,2.453012,42.64586,291.6256
13.70012,12.5721,3.68513,4.559012,21.95847,283.8327
14.22014,12.72192,3.395473,359.0259,50.07497,299.9634
13.18011,12.7601,3.781224,7.958552,21.52925,282.6049
14.08013,12.86164,3.638642,359.9257,42.08242,287.3826
14.68015,12.99154,3.839017,0.9845862,43.1622,284.9988
12.6001,12.96544,3.074734,2.410238,45.0018,290.9084
12.06009,12.90886,3.696798,0.1900121,53.96484,296.1679
13.34012,12.93423,3.286512,6.192329,21.01248,283.9717
13.88013,12.98678,3.970724,6.710908,25.77569,284.6913
12.8401,12.97906,3.064014,1.459119,47.65174,294.3738
12.30009,12.94511,3.653219,1.805473,39.57952,293.9964
14.24014,13.00678,3.637637,1.607594,40.82534,286.0719
12.5401,12.98556,3.489708,6.451275,21.89396,291.4735
12.42009,12.96098,3.913849,0.9610792,48.81809,297.1112
