goaltime,average,changepoint,1deg,2deg,3deg
11.92008,11.92008,3.844058,0.5221055,44.2003,293.909
13.84013,12.88011,3.703503,359.592,43.30111,287.9554
11.14007,12.30009,3.391507,1.498276,43.74585,292.8848
12.34009,12.31009,3.637986,3.262308,39.67817,289.7244
14.66015,12.7801,3.61999,3.402143,39.04411,286.7684
11.14007,12.50676,3.853698,1.802005,41.90385,292.8591
13.80013,12.69153,3.707652,6.919327,39.10851,287.6325
13.36012,12.7751,3.316827,1.79752,28.402,290.4231
13.88013,12.89788,3.318647,3.479956,45.50307,292.2245
13.38012,12.94611,3.990234,1.467888,42.8232,289.0399
12.28009,12.88556,3.467252,3.221406,26.55671,295.4164
13.66012,12.95011,3.444028,3.035973,22.7859,285.9161
14.86015,13.09703,3.402812,6.226581,36.79851,288.2062
13.60012,13.13297,3.417492,5.330372,38.81313,289.6094
14.08013,13.19611,3.362315,3.137475,43.18636,290.4679
14.72015,13.29137,3.953949,3.131982,34.65766,287.4638
14.98015,13.39071,3.665345,5.940597,41.50801,285.4429
13.36012,13.38901,3.12018,3.247602,43.81334,293.7431
18.46023,13.65591,3.086096,1.143953,43.17078,283.8499
12.06009,13.57612,3.841787,2.523174,48.46811,294.5266
14.04013,13.59822,3.196601,4.303761,26.65851,291.6023
12.7201,13.5583,3.501809,1.714394,43.48786,293.2327
19.82026,13.83056,3.895027,4.563362,35.48896,297.8308
15.88017,13.91596,3.624599,5.482835,35.06833,284.684
12.7001,13.86733,3.257559,4.170193,47.74564,296.2839
