goaltime,average,changepoint,1deg,2deg,3deg
11.06006,11.06006,3.565369,6.601099,23.98315,293.5007
10.60005,10.83006,3.659943,6.42732,25.53689,274.8454
11.50007,11.0534,3.67684,2.970721,23.4439,292.8511
11.34007,11.12506,3.929971,2.164955,27.42055,293.4353
11.68008,11.23607,3.654258,6.311113,23.9659,295.2233
11.00006,11.19673,3.904848,4.251099,28.84641,291.1619
11.44007,11.2315,3.24412,4.890153,40.37068,281.6682
10.92006,11.19257,3.842036,6.8374,26.64791,298.6812
11.22007,11.19562,3.445734,4.310274,28.44888,278.5809
11.18007,11.19407,3.615727,4.61199,31.07784,271.1645
10.80006,11.15825,3.075813,3.707622,39.11795,303.2371
11.62008,11.19673,3.157105,4.912033,35.50903,298.6589
13.54012,11.37699,3.827081,9.087054,22.89876,298.6972
10.86006,11.34007,3.299953,2.626541,42.43103,289.3705
12.00008,11.38407,3.181591,3.670855,19.65016,285.4226
11.72008,11.40507,3.745713,2.860481,35.26208,306.7058
10.82006,11.37066,3.2567,1.810218,42.90256,292.895
11.48007,11.37674,3.296219,3.248481,49.12028,298.5771
10.38005,11.32428,3.67788,3.618347,39.18984,304.8376
10.72006,11.29407,3.981549,5.521101,40.48476,283.0894
12.6001,11.35626,3.847118,2.435108,50.24186,292.8358
11.60008,11.36734,3.725907,2.295129,45.47938,290.9548
13.92013,11.47833,3.771518,359.1165,53.38835,295.9382
