time,distance,speed,first,second,third
0.02,0.004102111,0.2453685,0.8972915,45.77699,-64.91089
0.04,0.0134716,0.4684746,2.383684,46.65481,-64.62146
0.06,0.02694857,0.6738484,3.658562,47.21581,-62.7438
0.08,0.04286695,0.7959187,4.323532,49.66507,-62.61899
0.09999999,0.05921519,0.8174121,5.000171,51.98511,-62.75653
0.12,0.07504261,0.7913709,5.929497,53.96564,-63.05441
0.14,0.08587956,0.5418479,6.2481,54.32807,-63.3429
0.16,0.09283292,0.3476679,5.598054,55.00174,-64.04599
0.18,0.09862638,0.2896726,5.078285,54.64661,-65.27173
0.2,0.1059648,0.3669202,4.844518,52.99434,-66.58752
0.22,0.1145626,0.4298925,4.737473,50.42553,-67.93082
0.24,0.1250844,0.5260885,4.728511,47.9464,-69.30072
0.26,0.1378222,0.6368876,4.602999,45.75967,-70.68524
0.28,0.1525102,0.7344007,4.782383,43.52365,-71.18518
0.3,0.1693217,0.8405745,5.491519,41.88595,-71.44916
0.32,0.1879972,0.9337783,6.47493,40.51191,-71.64273
0.34,0.2081168,1.005977,7.472905,39.10067,-71.80701
0.36,0.229287,1.058513,8.361903,37.56612,-71.95389
0.38,0.2510108,1.086187,8.868354,36.05969,-71.47897
0.4,0.270632,0.9810627,9.282046,36.094,-71.79279
0.42,0.2874054,0.8386672,9.826813,35.90112,-71.60641
0.4400001,0.303665,0.8129835,9.79539,34.28869,-69.77979
0.4600001,0.3196092,0.7972062,9.790064,32.4212,-68.3125
0.4800001,0.3358366,0.8113742,9.676602,31.05904,-68.69977
0.5000001,0.3525707,0.8367002,9.469836,29.15893,-69.67151
0.52,0.3683492,0.7889271,9.100193,27.04804,-70.70264
0.54,0.3835993,0.7625043,8.505412,25.20386,-71.82492
0.56,0.398716,0.7558346,7.748956,23.67561,-72.98456
0.58,0.4136037,0.7443845,7.363363,22.48813,-74.48358
0.6,0.4282377,0.7317007,7.03687,21.4184,-76.10126
0.6199999,0.4427948,0.7278562,6.305175,20.40056,-77.76398
0.6399999,0.4574196,0.7312417,5.249927,19.40364,-79.44128
0.6599999,0.4724106,0.7495463,3.825938,18.4241,-81.14459
0.6799999,0.4868275,0.7208467,2.68919,17.84491,-80.59232
0.6999999,0.4991646,0.6168544,2.39763,18.81071,-79.22766
0.7199998,0.5091484,0.4991889,1.70637,20.37427,-77.56271
0.7399998,0.518187,0.4519343,1.801644,21.36593,-75.64233
0.7599998,0.5265453,0.417912,2.039635,22.55227,-75.20923
0.7799998,0.5346731,0.4063904,1.930656,22.76004,-74.04791
0.7999998,0.54362,0.4473448,1.854525,22.62245,-72.3988
0.8199998,0.5539774,0.517869,1.710938,22.77025,-70.69498
0.8399997,0.5662348,0.6128728,1.191232,23.23643,-68.96524
0.8599997,0.5805496,0.7157385,0.4795854,24.52976,-67.37668
0.8799997,0.5964262,0.7938325,0.2270579,27.07482,-66.85822
0.8999997,0.6127313,0.8152544,0.4179782,29.99007,-66.82141
0.9199997,0.6284821,0.7875383,0.9145355,32.65252,-66.79672
0.9399996,0.6431621,0.7340014,1.621767,34.99416,-66.65826
0.9599996,0.6565943,0.6716073,2.432379,37.03431,-66.50043
0.9799996,0.6686862,0.6045938,2.901222,38.47184,-65.84653
0.9999996,0.679947,0.5630434,3.193215,39.8044,-65.19421
1.02,0.690679,0.5365968,3.347789,41.08321,-64.65887
1.04,0.7011665,0.5243778,3.588334,42.38206,-64.20789
1.06,0.7117287,0.5281091,3.974511,43.57025,-63.7775
1.08,0.7224758,0.5373538,4.189307,44.88984,-63.40604
1.1,0.7334949,0.5509555,4.336565,45.93865,-62.77939
1.12,0.744819,0.5662084,4.47072,46.76598,-61.93289
1.14,0.7564834,0.5832195,4.674946,47.53742,-60.98877
1.159999,0.7685598,0.6038189,4.857561,48.37022,-60.10516
1.179999,0.7806411,0.6040633,5.12729,49.72563,-60.0228
1.199999,0.7913262,0.5342543,5.310091,50.36657,-59.65411
1.219999,0.8001665,0.4420161,5.352995,50.51069,-59.68909
1.239999,0.8081957,0.4014611,4.944832,50.94126,-59.80862
1.259999,0.8158978,0.3851056,4.371007,51.4768,-59.87949
1.279999,0.8238373,0.3969729,3.846585,51.25883,-60.81454
1.299999,0.8332181,0.4690409,3.487843,50.08271,-62.07007
1.319999,0.8443239,0.5552888,3.176862,48.37851,-63.40909
1.339999,0.8564471,0.6061614,2.960115,46.93759,-64.8374
1.359999,0.8691653,0.63591,2.915884,46.45885,-66.59778
1.379999,0.8818159,0.6325305,3.062216,46.46058,-67.85321
1.399999,0.8933635,0.5773783,3.349256,44.69908,-67.61572
1.419999,0.9043754,0.5505979,3.662356,42.88119,-67.4989
1.439999,0.9151843,0.5404413,3.902494,41.5576,-67.6759
1.459999,0.9259168,0.5366266,4.101722,40.74472,-68.06494
1.479999,0.9366348,0.5358994,3.908257,39.46055,-68.78464
1.499999,0.9476727,0.5518973,3.534107,37.95466,-69.89233
1.519999,0.9589959,0.5661607,3.133221,36.27369,-71.08716
1.539999,0.9706048,0.580442,2.960118,33.69481,-71.70609
1.559999,0.9825569,0.5976081,2.911851,31.80591,-72.82108
1.579999,0.9950033,0.6223202,3.022359,29.74384,-74.22964
1.599999,1.008028,0.6512403,3.423864,27.61768,-75.76602
1.619999,1.021718,0.6845117,3.772666,25.51081,-77.34476
1.639999,1.036049,0.7165313,3.885915,23.43512,-78.96149
1.659999,1.051,0.7475376,3.675377,21.40074,-80.58795
1.679999,1.066121,0.7560372,3.476624,19.32836,-80.681
1.699999,1.080016,0.6947875,2.918823,17.69361,-80.2103
1.719999,1.092009,0.5996346,3.010747,16.8904,-79.53934
1.739999,1.101683,0.4837275,3.309298,16.11675,-78.77066
1.759999,1.110368,0.4342437,3.350825,15.06357,-78.05307
1.779999,1.11856,0.4096031,2.931393,15.08413,-76.92258
1.799999,1.125795,0.3617525,3.105854,16.14895,-75.58859
1.819999,1.132544,0.3374457,3.704535,16.89954,-75.28903
1.839999,1.139462,0.3458977,4.121895,17.24453,-74.5726
1.859999,1.14755,0.4043937,4.298507,17.47348,-73.23566
1.879999,1.157219,0.4834533,4.303171,17.86394,-71.65213
1.899999,1.168924,0.5852222,3.918239,18.84959,-70.31909
1.919999,1.182883,0.6979465,3.287078,20.84599,-69.54388
1.939999,1.19895,0.8033633,2.416033,23.38839,-69.01129
1.959999,1.216466,0.8757949,1.534943,26.34566,-68.49823
1.979999,1.233645,0.8589745,1.414915,29.83948,-68.51416
1.999999,1.248895,0.7624865,1.728398,32.31654,-69.06259
2.019999,1.263532,0.7318258,2.267287,33.46065,-69.81122
2.039999,1.278075,0.7271528,3.143736,33.91215,-70.56726
2.059999,1.292362,0.7143855,3.82537,33.7985,-71.34003
2.079999,1.306875,0.7256389,4.366185,33.56117,-70.41782
2.099999,1.321289,0.7207155,4.833278,34.1594,-68.91168
2.119999,1.335456,0.7083178,5.397586,35.47577,-67.77438
2.139999,1.350493,0.7518768,6.10906,36.66705,-66.61096
2.159999,1.366356,0.793159,6.779226,37.52988,-65.00421
2.179999,1.383,0.8321881,7.127446,38.67879,-63.60599
2.199999,1.400112,0.8556008,7.538867,40.21316,-62.52386
2.219999,1.417185,0.8536577,8.036893,41.60165,-61.35645
2.239999,1.434063,0.8438706,8.549308,43.03249,-60.28586
2.259999,1.450544,0.8240342,8.984689,44.52197,-59.32834
2.279999,1.466115,0.7785797,9.308629,46.72572,-59.63245
2.299999,1.480364,0.7124662,9.326057,48.17507,-60.2858
2.319999,1.493471,0.6553173,9.334455,49.09091,-61.15088
2.339998,1.504254,0.5391598,9.265394,49.53287,-61.93872
2.359998,1.512564,0.4154921,8.363281,50.18569,-62.6738
2.379998,1.518124,0.2779841,7.40977,50.37495,-63.3259
2.399998,1.522902,0.2389073,6.582173,50.27777,-64.03528
2.419998,1.528593,0.2845764,5.778292,49.83943,-64.75745
2.439998,1.535215,0.331068,4.788311,49.05304,-65.27185
2.459998,1.542397,0.3591418,3.958869,48.78957,-66.0304
2.479998,1.550572,0.4087448,3.508348,48.52097,-66.84085
2.499998,1.559171,0.4299521,3.358817,47.99121,-67.57675
2.519998,1.567257,0.4042983,3.599052,47.23975,-68.23828
2.539998,1.574447,0.3594637,3.848721,45.85002,-68.45816
2.559998,1.580937,0.3245354,4.094165,44.49048,-68.84476
2.579998,1.587102,0.3082156,4.2266,43.45231,-69.0097
2.599998,1.593194,0.3046274,4.266768,43.01707,-69.26801
2.619998,1.599244,0.3025055,4.219553,42.64705,-69.44162
2.639998,1.605651,0.3203273,4.183142,41.97915,-69.40948
2.659998,1.612333,0.3341317,4.239499,41.04812,-69.2518
2.679998,1.619438,0.3552318,4.427572,39.05394,-69.84631
2.699998,1.627479,0.4020452,4.610434,36.72991,-71.3085
2.719998,1.636665,0.4592776,4.80658,34.1334,-73.02615
2.739998,1.646979,0.5157113,5.022555,31.67497,-74.82843
2.759998,1.658364,0.569284,5.117685,29.43988,-76.65894
2.779998,1.670562,0.6098747,5.169472,27.15678,-77.52567
2.799998,1.682957,0.6197691,4.884055,25.01445,-78.03647
2.819998,1.695374,0.620842,4.232029,23.00662,-78.44067
2.839998,1.707807,0.6216407,3.306759,21.09995,-78.82513
2.859998,1.719961,0.6076813,2.121756,19.21778,-79.21823
2.879998,1.730224,0.5131721,1.354598,18.84736,-78.26758
2.899998,1.738112,0.394392,0.7403636,20.09291,-76.83273
2.919998,1.744845,0.336659,1.771363,20.62593,-75.31055
2.939998,1.751489,0.3321767,2.509117,21.41045,-74.6069
2.959998,1.758978,0.3744721,3.110834,22.14182,-73.54343
2.979998,1.767661,0.4341602,3.302363,22.31792,-71.68362
2.999998,1.77803,0.5184293,3.252075,22.79646,-69.72559
3.019998,1.79071,0.6340265,2.89079,23.92473,-68.10583
3.039998,1.805559,0.7424474,2.299034,25.89167,-66.75671
3.059998,1.822456,0.8448243,1.426309,28.34125,-65.43347
3.079998,1.840654,0.9099364,0.6529697,32.08675,-65.84814
3.099998,1.856772,0.8058786,0.2380654,34.40713,-65.70624
3.119998,1.870625,0.6926537,0.1872379,35.48399,-66.90201
3.139998,1.884185,0.677979,0.5330072,35.68482,-67.99048
3.159998,1.897939,0.6877065,0.7552491,35.42289,-69.06146
3.179998,1.91206,0.7060528,0.8544142,34.77801,-68.79553
3.199998,1.926302,0.7121086,0.9739767,34.55401,-68.07806
3.219998,1.940316,0.7006764,1.121585,34.69995,-67.20789
3.239998,1.954032,0.6858349,1.452565,35.20543,-66.27155
3.259998,1.967243,0.6605506,2.024355,35.91285,-65.33771
3.279998,1.980813,0.6784916,2.118362,37.44501,-65.08945
3.299998,1.994569,0.6878138,2.006587,38.76608,-64.48535
3.319998,2.008658,0.7044256,1.929608,40.0013,-63.76038
3.339998,2.023,0.7171154,1.891004,41.18756,-62.96021
3.359998,2.037512,0.7255793,1.892269,42.35254,-62.08453
3.379997,2.05207,0.7279158,1.786667,44.26112,-62.26437
3.399997,2.066121,0.7025242,1.533016,46.15242,-62.59903
3.419997,2.079519,0.6699324,1.258596,47.84373,-62.92365
3.439997,2.092368,0.6424427,1.031921,49.01533,-63.26785
3.459997,2.104885,0.6258488,0.8718448,50.18393,-63.84604
3.479997,2.115463,0.5289078,0.7986428,50.38665,-64.42215
3.499997,2.123857,0.4197121,0.4080991,49.68383,-64.46481
3.519997,2.131382,0.3762484,0.5041756,49.20877,-65.01874
3.539997,2.139338,0.3977776,0.9043137,48.88059,-65.72913
3.559997,2.148535,0.4598379,1.400197,48.33963,-66.33658
3.579997,2.158662,0.5063772,1.939189,47.35295,-66.62671
3.599997,2.168848,0.5092859,2.727243,46.15886,-66.79578
3.619997,2.178786,0.496912,3.647838,45.09118,-66.92569
