time,distance,speed,first,second,third
0.02,0.003926277,0.2357244,1.645675,25.18468,-82.55652
0.04,0.01273882,0.4406273,2.617036,23.62429,-81.62051
0.06,0.02571952,0.649035,3.608248,22.16701,-80.65683
0.08,0.04093623,0.7608354,3.955901,21.87031,-79.03998
0.09999999,0.05623734,0.7650554,4.07995,22.70984,-77.16849
0.12,0.07061696,0.718981,3.669714,24.23888,-76.16559
0.14,0.08159316,0.5488098,3.622014,25.48987,-75.82956
0.16,0.09002519,0.4216015,4.080037,25.4571,-73.28775
0.18,0.09790146,0.3938138,4.730026,24.72022,-69.69916
0.2,0.1067952,0.4446864,5.001384,25.97563,-67.39511
0.22,0.1170417,0.5123258,5.337282,27.23927,-65.09729
0.24,0.1292884,0.6123364,5.81525,28.06575,-63.18045
0.26,0.1435606,0.7136106,6.271992,28.20654,-61.16983
0.28,0.1599489,0.8194149,6.773964,28.13835,-60.87061
0.3,0.1784354,0.924325,7.294053,27.38346,-61.17514
0.32,0.1988325,1.019853,7.808824,26.32121,-61.68396
0.34,0.2208018,1.098466,8.321363,25.25099,-62.25537
0.36,0.2439704,1.158428,8.835746,24.27731,-62.84247
0.38,0.267481,1.175529,8.495805,23.82711,-62.19345
0.4,0.2880828,1.030093,7.832255,23.75845,-61.11041
0.42,0.3060564,0.8986771,6.946426,25.38326,-61.4483
0.4400001,0.3228498,0.8396685,6.072265,26.83504,-60.73456
0.4600001,0.3386499,0.7900059,5.236745,27.853,-59.20123
0.4800001,0.3534553,0.7402718,4.570158,28.81888,-57.69083
0.5000001,0.3678335,0.7189095,4.084048,29.75109,-56.26526
0.52,0.3821356,0.7151067,3.634271,30.78903,-55.01135
0.54,0.3965677,0.7216036,3.164619,31.93774,-53.90826
0.56,0.4111818,0.7307053,2.691221,33.0454,-52.85406
0.58,0.425711,0.7264614,2.241699,36.2456,-54.03259
0.6,0.439586,0.6937504,2.090669,38.87579,-55.9176
0.6199999,0.4529428,0.6678402,1.918147,41.41311,-57.76437
0.6399999,0.4653913,0.6224215,1.777461,44.4442,-59.66379
0.6599999,0.477007,0.5807877,1.675175,47.02638,-61.59219
0.6799999,0.4881891,0.5591035,1.623172,48.11673,-63.55072
0.6999999,0.4984735,0.5142212,1.58867,47.92831,-65.55487
0.7199998,0.507691,0.460875,1.553532,47.39204,-67.57623
0.7399998,0.5168628,0.4585862,1.510364,47.1329,-69.59088
0.7599998,0.5259529,0.4545093,1.467894,46.92497,-71.59692
0.7799998,0.5354893,0.4768193,1.517249,45.81726,-72.56915
0.7999998,0.5467709,0.5640805,1.601031,44.74372,-73.18903
0.8199998,0.5600787,0.6653905,1.691738,43.63665,-73.68817
0.8399997,0.575381,0.765115,1.783025,42.38378,-74.15295
0.8599997,0.5923855,0.8502245,1.871422,41.01367,-74.60971
0.8799997,0.6101547,0.8884609,1.890752,39.9469,-75.40598
0.8999997,0.6266963,0.82708,1.887173,38.86513,-76.31982
0.9199997,0.6423959,0.7849753,1.871748,38.15768,-77.26367
0.9399996,0.657097,0.7350564,1.841395,37.45697,-78.21396
0.9599996,0.6710216,0.6962299,1.811616,36.6453,-79.17371
0.9799996,0.6840631,0.6520748,1.834107,35.10551,-80.15091
0.9999996,0.6974037,0.6670296,1.894543,33.27369,-81.1413
1.02,0.7114111,0.7003725,1.965237,31.27353,-82.1369
1.04,0.7262938,0.7441342,2.034546,29.21495,-83.13428
1.06,0.7420613,0.7883728,2.102959,27.16741,-84.13092
