goaltime,average,changepoint,1deg,2deg,3deg
20.32027,20.32027,3.949332,1.399174,49.66285,285.8411
25.7404,23.03034,3.434353,3.791727,27.87584,271.3803
26.32041,24.12703,3.975743,2.501647,49.14143,289.4734
20.96029,23.33534,3.01614,0.8571128,44.97291,289.2203
31.64053,24.99638,3.467142,2.910787,20.56846,275.5417
20.38028,24.22703,3.642159,4.364913,37.96856,279.4706
18.14022,23.35749,3.658722,6.527105,20.88386,290.6177
21.78031,23.16034,3.226107,1.605122,43.6953,286.54
25.22039,23.38923,3.049922,9.095385,28.25648,292.8092
37.16066,24.76638,3.629701,4.697925,29.4043,274.7419
19.16025,24.25673,3.944986,8.237376,30.57084,300.1947
18.70024,23.79369,3.484919,2.265892,40.54283,283.8986
16.08018,23.20034,3.688088,2.427197,24.61413,291.5667
20.40028,23.00033,3.893754,1.225746,49.17244,290.152
22.12032,22.94167,3.594422,4.649688,23.09633,283.46
18.32023,22.65283,3.956565,4.608285,22.90687,290.2325
28.18045,22.97798,3.472081,6.592594,25.99199,273.1049
20.34027,22.83144,3.86289,1.937999,48.04584,286.3977
44.12082,23.95193,3.788312,3.361772,26.92279,272.0828
22.04031,23.85635,3.037287,6.390487,45.63669,291.3686
27.10043,24.01083,3.798403,5.786344,23.14599,275.4455
18.58023,23.76399,3.593726,0.674175,19.68976,287.5719
24.54037,23.79774,3.691622,6.098654,22.74458,281.2464
17.88022,23.55118,3.513026,1.419101,43.07742,286.8185
18.50023,23.34914,3.585713,4.968644,19.48417,285.2787
20.84029,23.25265,3.940207,3.417808,46.39454,286.7554
24.24036,23.28923,3.418305,2.941709,34.553,278.9777
24.56037,23.33463,3.266657,6.692563,17.47631,289.3934
20.68028,23.2431,3.281115,3.656388,40.02593,286.9837
28.56046,23.42034,3.369019,2.092523,33.70386,279.4473
19.98027,23.30937,3.856787,3.4883,17.97896,280.4217
24.14036,23.33534,3.749962,4.281301,22.67008,294.2205
18.10022,23.1767,3.999403,2.152529,40.47684,286.1812
19.38025,23.06504,3.587658,2.550082,40.41989,282.3498
19.14025,22.95291,3.962968,5.142526,25.58649,291.2206
27.88045,23.08978,3.160374,2.502275,25.43944,294.8446
23.68035,23.10574,3.419889,6.732109,19.90968,284.5189
23.96036,23.12823,3.596416,3.14064,28.46965,273.3696
19.34025,23.03111,3.081457,0.2270195,19.5874,282.5689
23.44035,23.04134,3.485192,5.329571,47.31914,293.2421
24.44037,23.07546,3.114288,4.592813,40.76498,279.6695
23.64035,23.08891,3.834627,5.634817,22.21626,281.5817
25.30039,23.14034,3.085966,1.788339,22.1825,274.8369
26.14041,23.20852,3.156638,3.572378,30.28567,293.5797
20.32027,23.14434,3.656005,4.700225,21.53568,289.8329
23.62035,23.15469,3.215551,3.311319,29.39584,286.4826
18.32023,23.05182,3.901127,1.535678,45.95787,290.14
24.30037,23.07784,3.659122,6.183256,21.83719,293.4712
28.18045,23.18197,3.594937,2.838425,27.76825,276.3321
20.50028,23.12834,3.966792,8.250911,28.61849,297.7005
20.70028,23.08073,3.541742,4.263235,33.36804,293.1736
23.34034,23.08572,3.710265,3.4046,33.4182,280.3055
17.80022,22.98599,3.912991,3.186127,22.26657,280.9968
18.86024,22.90959,3.703535,1.153955,31.51859,282.7335
20.44028,22.86469,3.1573,4.004464,40.28583,281.032
20.74028,22.82676,3.539283,6.933365,26.55719,293.4713
29.08047,22.93647,3.692803,9.865488,29.39028,297.625
23.24034,22.94171,3.662406,1.245624,47.79645,291.1942
33.16057,23.11491,3.504311,7.448363,35.89948,278.2748
17.94022,23.02867,3.613518,4.490799,41.48251,285.3386
19.88026,22.97705,3.257869,3.310415,32.65503,283.0044
36.08064,23.1884,3.736713,0.6259174,23.43056,273.7358
31.06052,23.31336,3.274556,5.925767,28.26984,294.7723
21.68031,23.28784,3.498154,2.42571,50.86654,291.7258
33.70058,23.44804,3.90163,6.665544,30.7181,297.233
24.36037,23.46186,3.190001,2.484835,34.40371,278.9113
20.30027,23.41467,3.634082,2.643217,49.67504,290.3439
21.4403,23.38564,3.970246,8.884199,25.77139,291.4662
22.38032,23.37107,3.607591,1.999545,43.20139,286.774
26.20041,23.41149,3.664357,3.950545,44.35423,279.8712
20.52028,23.37077,3.057303,6.152195,27.39084,290.7219
23.58035,23.37368,3.774547,9.379253,26.97121,291.9249
26.10041,23.41103,3.142336,6.155691,35.37297,297.8384
25.8004,23.44332,3.015539,2.6204,21.43888,283.8627
20.24027,23.40061,3.311417,5.264896,23.39724,292.0388
22.16032,23.38429,3.840031,6.070318,18.0717,284.9662
18.22023,23.31722,3.755086,7.816552,24.78553,293.4871
21.90031,23.29906,3.926624,3.07101,27.62937,289.7885
35.76063,23.4568,3.26691,1.337092,46.27962,297.0436
21.5203,23.43259,3.655657,4.161413,30.88198,288.6011
19.80026,23.38775,3.074897,2.871493,25.40153,297.0263
20.62028,23.354,3.137208,5.556247,22.82072,282.3253
23.66035,23.35769,3.090836,5.564994,26.70623,294.9098
22.72033,23.3501,3.729673,3.080989,26.163,292.5807
24.22036,23.36034,3.49116,4.336251,20.76208,276.1814
17.72021,23.29476,3.910138,5.318939,39.49779,281.5943
20.98029,23.26816,3.137778,3.28398,40.63806,289.3101
24.56037,23.28284,3.992285,5.074615,23.98067,297.689
27.28043,23.32776,3.461151,3.164771,47.89798,293.9013
25.9804,23.35723,3.298297,4.246488,23.8638,291.074
