goaltime,average,changepoint,1deg,2deg,3deg
13.70012,13.70012,3.020791,2.480323,33.69705,297.8797
12.7401,13.22011,3.860704,7.418099,42.41856,290.6506
13.70012,13.38012,3.933472,4.935271,43.20538,291.639
12.8601,13.25011,3.76329,6.960278,43.86084,293.1373
15.78017,13.75612,3.35863,5.598506,22.079,282.8976
13.38012,13.69346,3.920362,1.648781,43.48034,291.3982
13.56012,13.67441,3.839273,8.072066,42.66673,289.9525
15.14016,13.85763,3.943771,0.3733243,29.27996,296.0123
15.02015,13.9868,3.920961,3.752471,25.1383,282.7783
13.22011,13.91013,3.605434,0.08479203,37.86219,291.1158
14.40014,13.95468,3.780807,1.411019,45.32194,294.0813
14.48014,13.99847,3.506869,2.093368,29.36665,286.1274
13.06011,13.92628,3.337361,4.218024,38.87149,296.6432
13.42012,13.89013,3.781317,6.608226,38.73669,287.6707
14.28014,13.91613,3.280158,1.645543,39.36184,289.2761
14.16013,13.93138,3.850337,5.435969,44.54649,289.1772
13.94013,13.93189,3.794834,6.518043,43.32674,293.4984
17.40021,14.12458,3.580386,3.935838,34.5268,284.2217
13.50012,14.09171,3.526352,5.320524,43.92419,292.9029
15.54017,14.16413,3.292746,4.811069,28.94259,282.9797
14.56014,14.18299,3.000145,3.495311,45.07798,296.5516
13.52012,14.15286,3.184,1.836236,40.42104,287.2032
16.72019,14.26448,3.3046,4.216177,24.97231,280.5719
